dataSymbol,tiingo_name,tiingo_start,tiingo_end,membership_from,membership_to
AAL,American Airlines Group Inc,2005-09-27,2026-08-04,2015-03-23,2024-09-22
AAMRQ,Amr Corp,2001-01-02,2013-12-17,,2003-03-14
AAP,Advance Auto Parts Inc,2001-11-29,2026-08-04,2015-07-09,2023-08-29
ABMD,Abiomed Inc,1987-07-30,2023-01-03,2018-05-31,2022-12-22
ACAS,American Capital Ltd,1997-09-02,2017-01-11,2007-07-09,2009-03-04
AET,Aetna Inc,1977-01-03,2018-11-28,,2018-11-29
AGN,Allergan Inc,1989-06-22,2020-05-08,,2020-05-12
AIV,Apartment Investment & Management Co. - Class A,1994-07-22,2026-08-04,2003-03-14,2020-12-21
AKS,AK Steel Holding Corp,1994-03-30,2020-03-13,2008-07-01,2011-12-16
ALK,Alaska Air Group Inc,1983-01-03,2026-08-04,2016-05-13,2023-12-17
ALXN,Alexion Pharmaceuticals Inc,1996-02-28,2021-07-28,2012-05-25,2021-07-21
AMCC,Applied Micro Circuits Corp,2001-01-02,2017-02-03,2001-01-02,2006-05-18
AMG,Affiliated Managers Group Inc,1997-11-21,2026-08-04,2014-07-01,2019-12-23
AMTM,Amentum Holdings Inc,2024-09-24,2026-08-04,2024-10-01,2024-12-26
AN,Autonation Inc,1992-03-03,2026-08-04,2003-02-24,2017-08-08
ANDV,Andeavor Corp,1983-04-06,2018-09-28,2007-09-27,2018-10-01
ANF,Abercrombie & Fitch Co. - Class A,1996-09-26,2026-08-04,2007-03-29,2013-12-23
ANR,"Alpha Natural Resources, Inc",2005-02-15,2015-07-16,2011-06-01,2012-10-02
ANSS,Ansys Inc,1996-06-21,2026-08-04,2017-06-19,2025-07-18
ARG,Airgas Inc,1986-12-22,2016-05-31,2009-09-09,2016-05-23
ASH,Ashland Inc,1983-04-06,2026-08-04,,2008-11-14
ATI,ATI Inc,1999-11-29,2026-08-04,,2015-07-02
ATVI,Activision Blizzard Inc,1993-10-25,2023-10-13,2015-08-31,2023-10-14
AVP,Avon Products Inc,1972-06-01,2020-01-03,,2015-03-23
AYE,ALLEGHENY ENERGY INC,2006-12-28,2011-11-30,2000-12-11,2011-02-28
AYI,Acuity Brands Inc,2001-12-03,2026-08-04,2016-05-03,2018-06-18
BBBY,Beyond Inc,2002-05-30,2026-08-04,,2017-07-26
BBT,Beacon Financial Corp,2000-06-28,2026-08-04,,2019-12-09
BBWI,Bath & Body Works Inc,1985-07-01,2026-08-04,2021-08-03,2024-10-01
BC,Brunswick Corp,1981-12-31,2026-08-04,,2008-06-23
BCR,C.R. Bard Inc,1983-04-06,2017-12-29,,2017-12-29
BGG,Briggs Stratton Corp,1984-09-07,2020-07-20,,2001-04-03
BHF,Brighthouse Financial Inc,2017-07-17,2026-08-04,2017-08-07,2019-04-02
BHI,Baker Hughes Inc,1987-04-06,2017-07-05,,2017-07-07
BIO,Bio-Rad Laboratories Inc - Class A,1980-02-27,2026-08-04,2020-06-22,2024-09-22
BJS,BJ SERVICES CO,2006-12-28,2011-05-09,2002-05-15,2010-04-29
BMS,Bemis Company Inc,1984-09-07,2019-06-28,,2014-12-05
BRCM,Broadcom Corp,2016-01-04,2016-02-09,2000-07-03,2016-02-01
BRL,BARR PHARMACEUTICALS INC,2006-12-28,2008-12-22,2006-02-27,2008-12-23
BVSN,BroadVision Inc,1996-06-21,2020-05-18,2000-11-06,2001-09-04
BWA,BorgWarner Inc,1993-08-13,2026-08-04,2011-12-19,2025-03-25
BXLT,Baxalta Inc,2015-06-30,2016-06-16,2015-07-01,2016-06-03
CAG,Conagra Brands Inc,1984-09-07,2026-08-05,,2026-06-30
CAM,AB CALIFORNIA INTERMEDIATE MUNICIPAL ETF ,1995-07-05,2026-08-04,2008-01-29,2016-04-04
CAR,Avis Budget Group Inc,1990-01-12,2026-08-04,,2006-08-01
CCK,Crown Holdings Inc,1984-12-18,2026-08-04,,2000-12-11
CCU,Compania Cervecerias Unidas S.A.,2001-01-02,2026-08-04,,2008-07-31
CE,Celanese Corp - Series A,2005-01-21,2026-08-04,2001-04-02,2025-03-25
CELG,Celgene Corp,1990-03-26,2019-11-22,2006-11-06,2019-11-21
CERN,Cerner Corp,1990-03-26,2022-09-08,2010-04-30,2022-06-08
CFN,CareFusion Corp,2009-08-21,2015-03-17,2009-09-01,2015-03-17
CHK,Chesapeake Energy Corp,1993-02-16,2024-10-04,,2018-03-19
CLF,Cleveland-Cliffs Inc,1987-11-05,2026-08-04,2009-12-21,2014-04-02
CMA,Comerica Inc,1990-03-26,2026-01-30,,2024-06-23
CMCSK,Comcast Corp,1990-03-26,2015-12-21,2015-09-21,2015-12-14
CNX,CNX Resources Corp,1999-04-30,2026-08-04,2006-06-28,2016-03-04
COL,Rockwell Collins Inc,2001-06-15,2018-11-26,2001-07-02,2018-11-27
COTY,Coty Inc - Class A,2013-06-13,2026-08-04,2016-10-03,2020-09-21
COV,Covidien plc,2007-06-14,2015-02-03,2007-07-02,2015-01-27
CPB,Campbell Soup Company,1985-07-01,2026-08-05,,2026-06-22
CPGX,Columbia Pipeline Group Inc,2015-07-01,2016-07-01,2015-07-02,2016-07-01
CPRI,Capri Holdings Ltd,2011-12-15,2026-08-04,2016-01-04,2020-05-12
CPWR,Ocean Thermal Energy Corp,1992-12-16,2026-08-06,1998-12-11,2011-12-31
CSC,Computer Sciences Corp,2001-01-02,2017-04-10,,2015-12-01
CSRA,CSRA Inc,2015-11-30,2018-04-04,2015-11-30,2018-04-04
CTB,Cooper Tire & Rubber Company,1987-11-05,2021-06-08,,2006-07-18
CTLT,Catalent Inc,2014-07-31,2024-12-18,2020-09-21,2024-12-19
CTXS,Citrix Systems Inc,1995-12-08,2022-11-02,,2022-10-03
CVC,Cablevision Systems Corp,2016-01-04,2016-06-21,2010-12-20,2016-06-21
CVG,Convergys Corp,1998-08-13,2018-12-14,2000-06-13,2009-12-21
CVH,Coventry Health Care Inc,2006-12-28,2013-10-17,,2013-05-08
CXO,Concho Resources Inc,2007-08-03,2021-01-15,2016-02-22,2021-01-21
