dataSymbol,instrumentType,active
SPY,EQUITY,true
QQQ,EQUITY,true
IWM,EQUITY,true
DIA,EQUITY,true
SHY,EQUITY,true
IEI,EQUITY,true
IEF,EQUITY,true
TLT,EQUITY,true
USO,EQUITY,true
UNG,EQUITY,true
UGA,EQUITY,true
XLE,EQUITY,true
GLD,EQUITY,true
SLV,EQUITY,true
CPER,EQUITY,true
PPLT,EQUITY,true
CORN,EQUITY,true
WEAT,EQUITY,true
SOYB,EQUITY,true
DBA,EQUITY,true
UUP,EQUITY,true
FXE,EQUITY,true
FXB,EQUITY,true
FXY,EQUITY,true
FXC,EQUITY,true
FXF,EQUITY,true
FXA,EQUITY,true
IBIT,EQUITY,true
VOO,EQUITY,true
VTI,EQUITY,true
XLF,EQUITY,true
XLK,EQUITY,true
XLV,EQUITY,true
XLI,EQUITY,true
XLY,EQUITY,true
XLP,EQUITY,true
XLU,EQUITY,true
XLB,EQUITY,true
XLRE,EQUITY,true
XLC,EQUITY,true
EFA,EQUITY,true
EEM,EQUITY,true
AGG,EQUITY,true
LQD,EQUITY,true
A,EQUITY,true
AAPL,EQUITY,true
ABBV,EQUITY,true
ABNB,EQUITY,true
ABT,EQUITY,true
ACGL,EQUITY,true
ACN,EQUITY,true
ADBE,EQUITY,true
ADI,EQUITY,true
ADM,EQUITY,true
ADP,EQUITY,true
ADSK,EQUITY,true
AEE,EQUITY,true
AEP,EQUITY,true
AES,EQUITY,true
AFL,EQUITY,true
AIG,EQUITY,true
AIZ,EQUITY,true
AJG,EQUITY,true
AKAM,EQUITY,true
ALB,EQUITY,true
ALGN,EQUITY,true
ALL,EQUITY,true
ALLE,EQUITY,true
AMAT,EQUITY,true
AMCR,EQUITY,true
AMD,EQUITY,true
AME,EQUITY,true
AMGN,EQUITY,true
AMP,EQUITY,true
AMT,EQUITY,true
AMZN,EQUITY,true
ANET,EQUITY,true
AON,EQUITY,true
AOS,EQUITY,true
APA,EQUITY,true
APD,EQUITY,true
APH,EQUITY,true
APO,EQUITY,true
APP,EQUITY,true
APTV,EQUITY,true
ARE,EQUITY,true
ARES,EQUITY,true
ATO,EQUITY,true
AVB,EQUITY,true
AVGO,EQUITY,true
AVY,EQUITY,true
AWK,EQUITY,true
AXON,EQUITY,true
AXP,EQUITY,true
AZO,EQUITY,true
BA,EQUITY,true
BAC,EQUITY,true
BALL,EQUITY,true
BAX,EQUITY,true
BBY,EQUITY,true
BDX,EQUITY,true
BEN,EQUITY,true
BF-B,EQUITY,true
BG,EQUITY,true
BIIB,EQUITY,true
BKNG,EQUITY,true
BKR,EQUITY,true
BLDR,EQUITY,true
BLK,EQUITY,true
BMY,EQUITY,true
BNY,EQUITY,true
BR,EQUITY,true
BRK-B,EQUITY,true
BRO,EQUITY,true
BSX,EQUITY,true
BX,EQUITY,true
BXP,EQUITY,true
C,EQUITY,true
CAH,EQUITY,true
CARR,EQUITY,true
CASY,EQUITY,true
CAT,EQUITY,true
CB,EQUITY,true
CBOE,EQUITY,true
CBRE,EQUITY,true
CCI,EQUITY,true
CCL,EQUITY,true
CDNS,EQUITY,true
CDW,EQUITY,true
CEG,EQUITY,true
CF,EQUITY,true
CFG,EQUITY,true
CHD,EQUITY,true
CHRW,EQUITY,true
CHTR,EQUITY,true
CI,EQUITY,true
CIEN,EQUITY,true
CINF,EQUITY,true
CL,EQUITY,true
CLX,EQUITY,true
CMCSA,EQUITY,true
CME,EQUITY,true
CMG,EQUITY,true
CMI,EQUITY,true
CMS,EQUITY,true
CNC,EQUITY,true
CNP,EQUITY,true
COF,EQUITY,true
COHR,EQUITY,true
COIN,EQUITY,true
COO,EQUITY,true
COP,EQUITY,true
COR,EQUITY,true
COST,EQUITY,true
CPAY,EQUITY,true
CPRT,EQUITY,true
CPT,EQUITY,true
CRH,EQUITY,true
CRL,EQUITY,true
CRM,EQUITY,true
CRWD,EQUITY,true
