ticker,reason,membership_from,membership_to,tiingo_name,tiingo_start,tiingo_end,note
ABC,NO_PRICE_DATA,2001-08-30,2023-09-02,ADBRI LTD,,,ticker is known to Tiingo but carries no price history
ABI,NO_COVERAGE,,2008-11-24,VICTORYSHARES PIONEER ASSET-BASED INCOME ETF ,2009-05-11,2026-08-04,Tiingo coverage starts 2009-05-11 but index membership ended 2008-11-24
ABKFQ,NO_COVERAGE,2000-12-11,2008-06-11,"Ambac Financial Group, Inc",2010-11-09,2013-10-17,Tiingo coverage starts 2010-11-09 but index membership ended 2008-06-11
ABS,NO_PRICE_DATA,,2006-06-02,ALBERTSONS INC,,,ticker is known to Tiingo but carries no price history
ABX,NO_COVERAGE,,2002-07-22,Abacus Global Management Inc - Class A,2020-09-14,2026-08-04,Tiingo coverage starts 2020-09-14 but index membership ended 2002-07-22
ACKH,NO_PRICE_DATA,,2000-11-17,ARMSTRONG HOLDINGS INC,,,ticker is known to Tiingo but carries no price history
ACS,NO_COVERAGE,2004-04-02,2010-02-08,AFFILIATED COMPUTER SERVICES INC,2010-02-05,2011-02-14,"HUMAN OVERRIDE: Affiliated Computer Services -- right company, but Tiingo starts 2010-02-05 and Xerox completed the acquisition days later. The 3-day overlap is the post-acquisition tail, worthless for a 6-year membership. (auto verdict was: only 3 days of overlap -- needs a human decision)"
ACV,NO_COVERAGE,,2006-11-17,Virtus Diversified Income & Convertible Fund,2015-05-22,2026-08-04,Tiingo coverage starts 2015-05-22 but index membership ended 2006-11-17
ADCT,REUSED_TICKER,,2007-07-02,Adc Therapeutics SA,2020-05-15,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
ADS,NO_PRICE_DATA,2013-12-23,2020-06-22,GRANITESHARES 2X SHORT ADBE DAILY ETF ,,,ticker is known to Tiingo but carries no price history
AFS-A,NO_PRICE_DATA,,2000-12-01,Associates First Capital Corp,,,ticker is known to Tiingo but carries no price history
AGC,NO_COVERAGE,,2001-08-29,Advent Claymore Convertible Securities and Income Fund Commo,2007-05-25,2018-08-24,Tiingo coverage starts 2007-05-25 but index membership ended 2001-08-29
AL,NO_COVERAGE,,2002-07-22,Sumisho Air Lease Corp - Class A,2011-04-19,2026-08-04,Tiingo coverage starts 2011-04-19 but index membership ended 2002-07-22
AM,NO_COVERAGE,,2004-05-03,Antero Midstream Corp,2014-11-05,2026-08-04,Tiingo coverage starts 2014-11-05 but index membership ended 2004-05-03
ANDW,NO_PRICE_DATA,,2006-10-02,ANDREW CORP,,,ticker is known to Tiingo but carries no price history
ANTM,NO_PRICE_DATA,2002-07-25,2022-06-28,,,,ticker is known to Tiingo but carries no price history
APC,REUSED_TICKER,,2019-08-09,ARKO Petroleum Corp - Class A,2026-02-12,2026-08-04,"Tiingo's manifest lists this ticker 2 times, so the string was reused; the security returned may not be the index member"
APCC,NO_PRICE_DATA,2000-06-01,2007-02-15,AMERICAN POWER CONVERSION CORP,,,ticker is known to Tiingo but carries no price history
APOL,NO_COVERAGE,2002-05-15,2013-07-01,Apollo Education Group Inc,2016-01-04,2017-02-09,Tiingo coverage starts 2016-01-04 but index membership ended 2013-07-01
ARC,NO_COVERAGE,,2000-04-18,ARC Document Solutions Inc,2005-02-04,2024-11-22,Tiingo coverage starts 2005-02-04 but index membership ended 2000-04-18
ASN,NO_PRICE_DATA,2004-12-20,2007-10-08,ARCHSTONE SMITH TRUST,,,ticker is known to Tiingo but carries no price history
ASO,NO_COVERAGE,,2006-11-06,Academy Sports and Outdoors Inc,2020-10-02,2026-08-04,Tiingo coverage starts 2020-10-02 but index membership ended 2006-11-06
AT,NO_COVERAGE,,2007-11-19,Atlantic Power Corp,2009-12-03,2021-05-14,Tiingo coverage starts 2009-12-03 but index membership ended 2007-11-19
ATGE,NOT_FOUND,2009-06-09,2012-10-01,,,,Tiingo does not know this ticker at all
AV,NO_COVERAGE,2000-10-02,2007-10-26,Aviva plc,2026-05-06,2026-08-04,Tiingo coverage starts 2026-05-06 but index membership ended 2007-10-26
AW,NO_PRICE_DATA,,2008-12-05,Allied Waste Industries LLC,,,ticker is known to Tiingo but carries no price history
AWE,NO_PRICE_DATA,2001-07-09,2004-10-27,ATT WIRELESS SERVICES INC,,,ticker is known to Tiingo but carries no price history
