date,add_t,rm_t
1999-12-02,OK,
1999-12-08,,LDW-B
1999-12-31,,HP
2000-01-03,,RNB
2000-01-04,NCR,
2000-01-06,YNR,
2000-01-06,,NLV
2000-01-31,BGEN,
2000-01-31,CNXT,
2000-01-31,HOG,
2000-01-31,,CNG
2000-01-31,,FLTWQ
2000-01-31,,FWLT
2000-03-16,TSG,
2000-03-16,,SCI
2000-04-03,LLTC,
2000-04-03,VRTS,
2000-04-03,,PBY
2000-04-03,,PNU
2000-04-18,,ARC
2000-05-04,,RLM
2000-05-05,SAPE,
2000-05-05,SEBL,
2000-05-10,MXIM,
2000-05-10,,JOS
2000-06-01,APCC,
2000-06-01,,MIR
2000-06-05,A,
2000-06-05,,NC
2000-06-08,SBUX,
2000-06-08,,SMS
2000-06-13,CVG,
2000-06-13,,TMC
2000-06-13,,TMC-A
2000-06-15,,UMG
2000-06-16,MEDI,
2000-06-16,,CSR
2000-06-19,CF,
2000-06-19,,CHA
2000-06-20,,WLA
2000-06-21,SANM,
2000-06-21,TIF,
2000-06-21,,SGID
2000-06-29,MERQ,
2000-06-29,VSTNQ,
2000-06-29,,IKN
2000-06-29,,MZIAQ
2000-07-03,BRCM,
2000-07-03,,GTE
2000-07-03,,USW
2000-07-13,JNS,
2000-07-13,,KSU
2000-07-17,CIT-A,
2000-07-17,,UPR
2000-07-27,VIAV,
2000-07-27,,RAD
2000-07-28,PALM,
2000-07-28,,COMS
2000-08-21,KSE,
2000-08-21,,NCE
2000-08-30,DVN,
2000-08-30,,GAPTQ
2000-10-02,AV,
2000-10-02,,OWENQ
2000-10-03,DYN,
2000-10-03,,BFO
2000-10-03,,YNR
2000-10-18,NBR,
2000-10-18,,MKG
2000-10-23,PWER,
2000-10-23,,UCM
2000-11-02,EOG,
2000-11-02,NI,
2000-11-02,,CG
2000-11-02,,EFU
2000-11-06,BVSN,
2000-11-06,,PWJ
2000-11-17,,ACKH
2000-11-22,FRX,
2000-11-22,,SEG
2000-11-24,CHIR,
2000-11-24,,FJ
2000-12-01,CPNLQ,
2000-12-01,,AFS-A
2000-12-01,,FPC
2000-12-05,RHI,
2000-12-11,ABKFQ,
2000-12-11,AYE,
2000-12-11,INTU,
2000-12-11,MET,
2000-12-11,SBL,
2000-12-11,,BHMSQ
2000-12-11,,CCK
2000-12-11,,GRA
2000-12-11,,OI
2000-12-11,,VO
2000-12-12,KMI,
2000-12-12,QLGC,
2000-12-12,SYK,
2000-12-12,VTSS,
2000-12-12,,NGH
2000-12-12,,PRD
2000-12-12,,RML
2000-12-12,,SMI
2000-12-22,FLR,
2000-12-22,,MEE
2001-01-02,AMCC,
2001-01-30,JBL,
2001-01-30,,CGP
2001-02-07,UVN,
2001-02-07,,UK
2001-02-27,FTR,
2001-03-01,CTAS,
2001-03-01,,SUB
2001-04-02,CE,
2001-04-02,FISV,
2001-04-02,,CEN
2001-04-02,,OK
2001-04-03,MIR,
2001-04-03,,BGG
2001-05-14,PBG,
2001-05-14,,SXCL
2001-06-04,MWW,
2001-06-04,,CIT-A
2001-06-25,ZION,
2001-06-25,,AZA-A
2001-06-29,JHF,
2001-06-29,,H
2001-07-02,COL,
2001-07-02,,LDG
2001-07-09,AWE,
2001-07-09,,PCH
2001-08-03,PMCS,
2001-08-03,,OAT
2001-08-06,FDO,
2001-08-06,,ETS
2001-08-07,ZBH,
2001-08-07,,TKR
2001-08-29,,AGC
2001-08-30,ABC,
2001-08-30,CIEN,
2001-08-30,,OKE
2001-09-04,IGT,
2001-09-04,,BVSN
2001-09-17,,TOS
2001-09-21,IMNX,
2001-10-10,EOP,
2001-10-10,TE,
2001-10-10,,GX
2001-10-10,,TX
2001-11-07,HMA,
2001-11-07,,GPU
2001-11-30,NVDA,
2001-11-30,,ENRNQ
2001-12-03,EQR,
2001-12-03,,NSI
2001-12-13,,RAL
2001-12-14,GENZ,
2001-12-17,JNY,
2001-12-17,,HM
2002-01-02,WAT,
2002-01-02,,FMC
2002-01-17,,KM
2002-01-30,,MEA
2002-02-01,RATL,
2002-02-01,,NMK
2002-02-11,,WLL
2002-05-06,FHN,
2002-05-06,,CPQ
2002-05-13,TT,
2002-05-13,,SAPE
2002-05-15,APOL,
2002-05-15,BJS,
2002-05-15,,UAWGQ
2002-05-15,,WCOEQ
2002-06-26,SPG,
2002-06-26,,CNXT
2002-07-16,,IMNX
2002-07-17,NFB,
2002-07-22,EA,
2002-07-22,EBAY,
2002-07-22,GS,
2002-07-22,PFG,
2002-07-22,PRU,
2002-07-22,SDS,
2002-07-22,UPS,
2002-07-22,,ABX
2002-07-22,,AL
2002-07-22,,INCLF
2002-07-22,,NRTLQ
2002-07-22,,PDG
2002-07-22,,RDS-A
2002-07-22,,UN
2002-07-25,ANTM,
2002-07-25,,CNC
2002-08-14,,PALM
2002-08-21,,VTSS
