ticker,first_trading_day,last_trading_day,manifest_as_of
A,1999-11-18,2026-08-05,2026-08-05
AAL,2005-09-27,2026-08-05,2026-08-05
AAMRQ,2001-01-02,2013-12-17,2026-08-05
AAP,2001-11-29,2026-08-05,2026-08-05
AAPL,1980-12-12,2026-08-05,2026-08-05
ABBV,2013-01-02,2026-08-05,2026-08-05
ABI,2009-05-11,2026-08-05,2026-08-05
ABMD,1987-07-30,2023-01-03,2026-08-05
ABNB,2020-12-10,2026-08-05,2026-08-05
ABT,1983-04-06,2026-08-05,2026-08-05
ABX,2020-09-14,2026-08-05,2026-08-05
ACAS,1997-09-02,2017-01-11,2026-08-05
ACGL,1995-09-14,2026-08-05,2026-08-05
ACN,2001-07-19,2026-08-05,2026-08-05
ACS,2010-02-05,2011-02-14,2026-08-05
ACV,2015-05-22,2026-08-05,2026-08-05
ADBE,1986-08-14,2026-08-05,2026-08-05
ADCT,2020-05-15,2026-08-05,2026-08-05
ADI,1984-07-19,2026-08-05,2026-08-05
ADM,1983-04-05,2026-08-05,2026-08-05
ADP,1983-04-06,2026-08-05,2026-08-05
ADSK,1985-07-01,2026-08-05,2026-08-05
AEE,1998-01-02,2026-08-05,2026-08-05
AEP,1970-01-02,2026-08-05,2026-08-05
AES,1991-06-26,2026-08-05,2026-08-05
AET,1977-01-03,2018-11-28,2026-08-05
AFL,1984-07-19,2026-08-05,2026-08-05
AFRM,2021-01-13,2026-08-05,2026-08-05
AGC,2007-05-25,2018-08-24,2026-08-05
AGG,2003-09-26,2026-08-05,2026-08-05
AIG,1984-09-07,2026-08-05,2026-08-05
AIV,1994-07-22,2026-08-05,2026-08-05
AIZ,2004-02-05,2026-08-05,2026-08-05
AJG,1984-09-07,2026-08-05,2026-08-05
AKAM,1999-10-29,2026-08-05,2026-08-05
AL,2011-04-19,2026-08-05,2026-08-05
ALB,1994-02-22,2026-08-05,2026-08-05
ALGN,2001-01-30,2026-08-05,2026-08-05
ALK,1983-01-03,2026-08-05,2026-08-05
ALL,1993-06-03,2026-08-05,2026-08-05
ALLE,2013-11-18,2026-08-05,2026-08-05
ALXN,1996-02-28,2021-07-28,2026-08-05
AM,2014-11-05,2026-08-05,2026-08-05
AMAT,1984-09-07,2026-08-05,2026-08-05
AMC,2013-12-18,2026-08-05,2026-08-05
AMCC,2001-01-02,2017-02-03,2026-08-05
AMCR,2019-06-11,2026-08-05,2026-08-05
AMD,1983-03-21,2026-08-05,2026-08-05
AME,1984-07-19,2026-08-05,2026-08-05
AMG,1997-11-21,2026-08-05,2026-08-05
AMGN,1984-09-07,2026-08-05,2026-08-05
AMP,2005-09-15,2026-08-05,2026-08-05
AMT,1998-02-27,2026-08-05,2026-08-05
AMTM,2024-09-24,2026-08-05,2026-08-05
AMZN,1997-05-15,2026-08-05,2026-08-05
AN,1992-03-03,2026-08-05,2026-08-05
ANDV,1983-04-06,2018-09-28,2026-08-05
ANET,2014-06-06,2026-08-05,2026-08-05
ANF,1996-09-26,2026-08-05,2026-08-05
ANSS,1996-06-21,2026-08-05,2026-08-05
AON,1984-09-07,2026-08-05,2026-08-05
AOS,1984-09-07,2026-08-05,2026-08-05
APA,1979-05-15,2026-08-05,2026-08-05
APC,2026-02-12,2026-08-05,2026-08-05
APD,1983-04-06,2026-08-05,2026-08-05
APH,1991-11-08,2026-08-05,2026-08-05
APO,2011-03-30,2026-08-05,2026-08-05
APOL,2016-01-04,2017-02-09,2026-08-05
APP,2021-04-15,2026-08-05,2026-08-05
APTV,2011-11-17,2026-08-05,2026-08-05
ARC,2005-02-04,2024-11-22,2026-08-05
ARE,1997-05-28,2026-08-05,2026-08-05
ARES,2014-05-02,2026-08-05,2026-08-05
ARG,1986-12-22,2016-05-31,2026-08-05
ASH,1983-04-06,2026-08-05,2026-08-05
ASO,2020-10-02,2026-08-05,2026-08-05
AT,2009-12-03,2021-05-14,2026-08-05
ATI,1999-11-29,2026-08-05,2026-08-05
ATO,1983-12-28,2026-08-05,2026-08-05
ATVI,1993-10-25,2023-10-13,2026-08-05
AV,2026-05-06,2026-08-05,2026-08-05
AVB,1994-03-11,2026-08-05,2026-08-05
AVGO,2009-08-06,2026-08-05,2026-08-05
AVP,1972-06-01,2020-01-03,2026-08-05
AVY,1983-12-29,2026-08-05,2026-08-05
AWK,2008-04-23,2026-08-05,2026-08-05
AXON,2001-06-07,2026-08-05,2026-08-05
AXP,1972-06-01,2026-08-05,2026-08-05
AYE,2006-12-28,2011-11-30,2026-08-05
AYI,2001-12-03,2026-08-05,2026-08-05
AZO,1991-04-02,2026-08-05,2026-08-05
BA,1962-01-02,2026-08-05,2026-08-05
BABA,2014-09-19,2026-08-05,2026-08-05
BAC,1986-05-29,2026-08-05,2026-08-05
BALL,1984-09-07,2026-08-05,2026-08-05
BAX,1981-10-27,2026-08-05,2026-08-05
BBBY,2002-05-30,2026-08-05,2026-08-05
BBT,2000-06-28,2026-08-05,2026-08-05
BBWI,1985-07-01,2026-08-05,2026-08-05
BBY,1985-04-19,2026-08-05,2026-08-05
BC,1981-12-31,2026-08-05,2026-08-05
BCR,1983-04-06,2017-12-29,2026-08-05
BDX,1983-04-06,2026-08-05,2026-08-05
BEN,1984-09-07,2026-08-05,2026-08-05
BF-B,1984-09-07,2026-08-05,2026-08-05
BFO,2003-09-29,2020-12-15,2026-08-05
BG,2001-08-02,2026-08-05,2026-08-05
BGG,1984-09-07,2020-07-20,2026-08-05
BHF,2017-07-17,2026-08-05,2026-08-05
BIDU,2005-08-05,2026-08-05,2026-08-05
BIIB,1991-09-17,2026-08-05,2026-08-05
BIO,1980-02-27,2026-08-05,2026-08-05
BJS,2006-12-28,2011-05-09,2026-08-05
BKNG,1999-03-31,2026-08-05,2026-08-05
BKR,2017-07-05,2026-08-05,2026-08-05
BLDR,2005-06-28,2026-08-05,2026-08-05
BLK,1999-10-01,2026-08-05,2026-08-05
BMS,1984-09-07,2019-06-28,2026-08-05
BMY,1972-06-01,2026-08-05,2026-08-05
BNY,1973-05-03,2026-08-05,2026-08-05
BR,2007-04-02,2026-08-05,2026-08-05
BRCM,2016-01-04,2016-02-09,2026-08-05
BRK-B,1996-05-09,2026-08-05,2026-08-05
BRL,2006-12-28,2008-12-22,2026-08-05
BRO,1992-03-03,2026-08-05,2026-08-05
BSX,1992-05-19,2026-08-05,2026-08-05
BUD,2009-07-01,2026-08-05,2026-08-05
BVSN,1996-06-21,2020-05-18,2026-08-05
BWA,1993-08-13,2026-08-05,2026-08-05
BX,2007-06-22,2026-08-05,2026-08-05
BXLT,2015-06-30,2016-06-16,2026-08-05
BXP,1997-06-18,2026-08-05,2026-08-05
C,1977-01-03,2026-08-05,2026-08-05
CA,2023-12-14,2026-08-05,2026-08-05
CAG,1984-09-07,2026-08-05,2026-08-05
